question,choice_a,choice_b,choice_c,choice_d,correct_answer,image_path,image_page,copyright
What do the physical postures and weaponry suggest about the nature of this scene?,Preparation for a celebration,Set-up for a dance sequence,A dramatic confrontation,Conclusion of a peaceful resolution,c,https://ich.unesco.org/img/photo/thumb/12007-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12007,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2014"
What likely precedes this moment in a traditional Khon backstage setting?,A vocal performance,A recitation of lines,A makeup application,A costume check,d,https://ich.unesco.org/img/photo/thumb/12012-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12012,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
What does the blue fabric worn by the assistant signify in the context of Thai cultural attire?,Festive celebration,Daily wear,Casual rehearsal attire,Royal service,c,https://ich.unesco.org/img/photo/thumb/12012-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12012,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
How might the adjustments to the mask impact the performance that follows?,Make movements more fluid,Enhance vocal clarity,Increase the emotional expression,Add to the visual effects,c,https://ich.unesco.org/img/photo/thumb/12012-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12012,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
"Typically, what does the golden color predominant in the character's costume represent?",Wealth,Divinity,Nature,Mourning,b,https://ich.unesco.org/img/photo/thumb/12012-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12012,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
What can be inferred about the role of the person adjusting the headpiece?,He is likely a fellow performer,He is possibly a stage manager,He might be a costume designer,He could be an audience member,c,https://ich.unesco.org/img/photo/thumb/12012-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12012,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
What cultural role might the assistant's attire play in ensuring the fidelity of the performance?,Signaling understated importance,Providing visual balance,Highlighting cultural humility,Enhancing thematic depth,c,https://ich.unesco.org/img/photo/thumb/12012-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12012,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
How many female participants are visible in this specific section of the Khon training image?,8,10,12,15,b,https://ich.unesco.org/img/photo/thumb/12014-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12014,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
Which age group predominantly comprises the participants in this Khon training image?,Children,Teenagers,Adults,Elderly,a,https://ich.unesco.org/img/photo/thumb/12014-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12014,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
"What motivation might these participants have for engaging in Khon dance training, as suggested by the context?",Professional career in dance,Casual hobby,School requirement,Community service,a,https://ich.unesco.org/img/photo/thumb/12014-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12014,"Photograph: Winai Trimas© Department of Cultural Promotion, Thailand, 2015"
What is the primary purpose of the item being created in the image?,Decorative sculpture,Theater costume accessory,Traditional wear for ceremonies,Artistic representation for gallery display,b,https://ich.unesco.org/img/photo/thumb/12013-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12013,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2016"
What does the intricate design on the mask suggest about its use?,Military purposes,Daily wear,Entertainment performances,Religious ceremonies,c,https://ich.unesco.org/img/photo/thumb/12013-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12013,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2016"
"Considering the context, to which genre of performance is this mask most likely related?",Opera,Ballet,Puppetry,Dance drama,d,https://ich.unesco.org/img/photo/thumb/12013-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12013,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2016"
Which of the following instruments is NOT visible in the image but is traditionally used in Khon music?,Ranat ek,Saw duang,Ching,Pi nai,c,https://ich.unesco.org/img/photo/thumb/12015-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12015,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2010"
"Given the setting of the performance, where might this image likely be taken?",Indoor concert hall,Open-air theatre,School or educational setting,Temple courtyard,c,https://ich.unesco.org/img/photo/thumb/12015-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12015,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2010"
"Based on the attire of the musicians, what does their uniform suggest about the event?",It is a casual practice session,It is a formal concert,It is a religious ceremony,It is a school function,d,https://ich.unesco.org/img/photo/thumb/12015-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12015,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2010"
"Focusing on the large drum played by the musician on the far right, the instrument is called:",Taphon,Klong that,Klong yao,Thon,b,https://ich.unesco.org/img/photo/thumb/12015-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12015,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2010"
The wooden bars instrument played by the musician on the left front is known as:,Khim,Pong lang,Ranat ek,Ranat thum,c,https://ich.unesco.org/img/photo/thumb/12015-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12015,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2010"
How does the setting influence the acoustic quality of the performance?,Enhances through natural acoustics,Dulls due to open-area distractions,Echoes unnecessarily if in a hall,Limits the range of sound,a,https://ich.unesco.org/img/photo/thumb/12015-HUG.jpg,https://ich.unesco.org/en/photo-pop-up-00973?photoID=12015,"Photograph: Gingthong Mahapornpaisan© Department of Cultural Promotion, Thailand, 2010"
